ISBN,Titulo,Autor,Ubicacion,Disponibilidad
9789875669284,1984,Orwell George,823 ORWmi 2017,5
9789879317242, El gran diseno, Hawking Stephen; Mlodinow Leonard,509 HAWgr 2018,1
8429141251, PSSC Fisica,Haber-Schaim Uri,C.- 813 LONlo ,1
9788492696543,Al furgon!,Meunier Henri; Choux Nathalie,843 VANc 1991,1
9788408004097,Buenos dias princesa!,Blue Jeans,C.- 863 BLUb 20,7
9786071624765,Hay un dinosaurio en mi sopa! ,Chaos Cador Alvaro,C.- 807 MARde 2016,1
9786071712202,Tengo miedo! Bullying en las escuelas,Acevedo Jesus,R.- 262 LEOr ,1
9781405322485,Todo! Una enciclopedia visual unica,Bryan Kim ,C.- 863 LOZd ,5
9789562641296, Hacia donde volaran los pajaros?,Schkolnik Saul,823 WILf 1990,7
8480190841,1015 juegos y formas jugadas de iniciacion a los deportes de equipo,Lasierra Aguila Gerard; Lavega Burgues Pere,C.- 796 LASm,5
9788497712392,12 Relatos de la Iliada y la Odisea,Homero,883 HOMi 2005,4
9789563630947,Alguien toca la puerta - Leyendas Chilenas,Montero Andres,Ch863 MONal 2016,8
95628223237,Angeles y solitarios,Diaz Eterovic Ramon,C.- Ch863 DIAa ,2
9561102333,Apologia de Socrates,Platon,184  PLAa 1990,3
9500702975,Ardiente paciencia,Skarmeta Antonio,Ch863 SHA,5
8430305149,Casa de munecas,Ibsen Enrique,839 IBSc 1975 ,10
956125059,Colmillo blanco,London Jack,813 LONc 1989,11
8427502421,Cronica de una muerte anunciada,Garcia Marquez Gabriel,C863 GARcr 2001,9
9500709287,Del amor y otros demonios,Garcia Marquez Gabriel,C863 GARca 1994,14
9788467510270,Donde surgen las sombras,Lozano Garbala David,863 LOZd 2013,9
9562391620,El anio de la ballena,Parra Marco Antonio de la ,(M) Ch863 PARa ,12
9875661198,Fahrenheit 451,Baradbury Ray,813 BRAfa 2012,8
9561204591,Gracia y el Forastero,Blanco Guillermo,843 FEVj 1942,14
9561216914,Hamlet,Shakespeare William,C.- 028 SEMac 2015,4
9789562472814,La esquina es mi corazon: Cronica urbana,Lemebel Pedro,Ch863 LEMes 2018,5
978843408195,La hija del Espantapajaros,Gripe Maria,839 EURpa 2004,6
9561211629,La Iliada,Homero,883 HOMi 1985,15
9561206668,La Odisea,Homero,883 HOMo 1996,17
9789562646000,Misterio en el campamento,Garcia Huidobro Beatriz,Ch863 GARmi 2015,5
9789563496857,Nieve negra,Valennzuela Leon Camila,Ch863 VALmi 2017,7
9789561705746,Origen de las ciudades Chilenas: Las fundaciones del S. XVIII,Lorenzo Santiago,307 LORor 2013,1
8429100253,Pedro Paramo,Rulfo Juan,M863 RULp 2002,6
8432021180,Pedro Paramo y el llano en llamas,Rulfo Juan,M863 RULp 1995,5
9500301962,Romeo y Julieta,Shakespeare William,822 SHAr 1994,5
9789568303709,Santiago de Chile. Historia de una sociedad urbana,Ramon Armando de,983 RAMs 2007,1
9562923620,Terremotos y Tsunamis en Chile: Para conocer y prevenir,Cereceda Pilar ,551 CERAT 2011,7
9789568367046,Un mundo feliz,Huxley Aldous,R.- 262 LEOr ,9
8420734136,Viaje al centro de la Tierra,Verne Julio,843  VERv 1982,14
9789876283472,Yo, Robot,Asimov Isaac,813 LOWda 2014,11
9789561604124,Zoologicos Humanos: Fotografias de Fueguinos y Mapuche en el Jardin d'acclimatation de Paris S.XX,Baez Christian; Mason Peter,980 BAEZo 2016,2
